# SD2b	measured
# "SD2b (mV)"	"measured"
# 462
-95.0006	1143.56
-94.8318	1144.18
-94.6629	1135.1
-94.4941	1132.58
-94.3253	1131.98
-94.1565	1129.5
-93.9876	1136.18
-93.8188	1150.84
-93.65	1134.66
-93.4811	1134.74
-93.3123	1148.54
-93.1435	1143.62
-92.9746	1139.52
-92.8058	1142.14
-92.637	1137.5
-92.4681	1135.16
-92.2993	1140.52
-92.1305	1132.46
-91.9616	1130.9
-91.7928	1133.82
-91.624	1133.64
-91.4552	1147.92
-91.2863	1153.1
-91.1175	1146.78
-90.9487	1149.08
-90.7798	1141.24
-90.611	1135.84
-90.4422	1142.04
-90.2733	1148.88
-90.1045	1130.86
-89.9357	1134.26
-89.7668	1142.8
-89.598	1135.18
-89.4292	1137.52
-89.2604	1143.74
-89.0915	1143.14
-88.9227	1151
-88.7539	1145.24
-88.585	1139.08
-88.4162	1147.58
-88.2474	1142.12
-88.0785	1140.68
-87.9097	1147.98
-87.7409	1153.66
-87.572	1148.5
-87.4032	1153.6
-87.2344	1153.88
-87.0655	1137.5
-86.8967	1150.64
-86.7279	1155.36
-86.5591	1137.24
-86.3902	1148.9
-86.2214	1148.46
-86.0526	1153.16
-85.8837	1155.8
-85.7149	1155.36
-85.5461	1142.7
-85.3772	1157
-85.2084	1165.88
-85.0396	1157.6
-84.8707	1157.9
-84.7019	1145.28
-84.5331	1146.8
-84.3642	1162.62
-84.1954	1165.3
-84.0266	1158.84
-83.8578	1148.22
-83.6889	1147.44
-83.5201	1143.5
-83.3513	1155.76
-83.1824	1153.52
-83.0136	1156.7
-82.8448	1155.02
-82.6759	1143.14
-82.5071	1150.94
-82.3383	1158.54
-82.1694	1147.7
-82.0006	1132.08
-81.8318	1133.5
-81.6629	1152.92
-81.4941	1155.48
-81.3253	1154.02
-81.1565	1153.5
-80.9876	1159.04
-80.8188	1158.74
-80.65	1158.42
-80.4811	1155.04
-80.3123	1161.94
-80.1435	1138.66
-79.9746	1142.6
-79.8058	1155.76
-79.637	1157.74
-79.4681	1154.76
-79.2993	1148.82
-79.1305	1133.9
-78.9616	1147.28
-78.7928	1170.06
-78.624	1167.04
-78.4552	1154
-78.2863	1160.96
-78.1175	1154.46
-77.9487	1148.86
-77.7798	1149.86
-77.611	1145.76
-77.4422	1157.52
-77.2733	1155.16
-77.1045	1148.3
-76.9357	1160.02
-76.7668	1150.66
-76.598	1149.32
-76.4292	1151.48
-76.2604	1155.72
-76.0915	1155.48
-75.9227	1157.9
-75.7539	1164.36
-75.585	1149.74
-75.4162	1148.74
-75.2474	1160.38
-75.0785	1143.76
-74.9097	1148.74
-74.7409	1153.94
-74.572	1153.22
-74.4032	1150.76
-74.2344	1147.68
-74.0655	1149.6
-73.8967	1159.32
-73.7279	1155.12
-73.5591	1157.6
-73.3902	1167.64
-73.2214	1159.54
-73.0526	1150.76
-72.8837	1154.44
-72.7149	1158.06
-72.5461	1162.12
-72.3772	1164.14
-72.2084	1148.06
-72.0396	1137.06
-71.8707	1150.5
-71.7019	1151.04
-71.5331	1156.14
-71.3642	1156.04
-71.1954	1166.18
-71.0266	1156.14
-70.8578	1160.66
-70.6889	1159.58
-70.5201	1152.14
-70.3513	1145.7
-70.1824	1140.4
-70.0136	1139.66
-69.8448	1151.18
-69.6759	1159.12
-69.5071	1153.32
-69.3383	1154
-69.1694	1166.64
-69.0006	1171.2
-68.8318	1161.74
-68.6629	1153.68
-68.4941	1152.56
-68.3253	1150.66
-68.1565	1151.14
-67.9876	1150.84
-67.8188	1158.84
-67.65	1149.76
-67.4811	1160.32
-67.3123	1163.4
-67.1435	1157.86
-66.9746	1163.26
-66.8058	1159.82
-66.637	1165.46
-66.4681	1168.54
-66.2993	1173.68
-66.1305	1163.86
-65.9616	1167.16
-65.7928	1165.36
-65.624	1156.02
-65.4552	1160.62
-65.2863	1177.16
-65.1175	1167.32
-64.9487	1175.64
-64.7798	1174.12
-64.611	1165.82
-64.4422	1176.38
-64.2733	1176.52
-64.1045	1169.84
-63.9357	1165.54
-63.7668	1175.96
-63.598	1169.1
-63.4292	1179.42
-63.2604	1176.22
-63.0915	1169.48
-62.9227	1179.36
-62.7539	1178.78
-62.585	1175.14
-62.4162	1186.88
-62.2474	1182.6
-62.0785	1169.04
-61.9097	1165.86
-61.7409	1178.38
-61.572	1191.2
-61.4032	1189.86
-61.2344	1174.34
-61.0655	1175.04
-60.8967	1188.5
-60.7279	1191.9
-60.5591	1180.22
-60.3902	1189.06
-60.2214	1194.34
-60.0526	1191.1
-59.8837	1190.16
-59.7149	1195.8
-59.5461	1190.74
-59.3772	1182.88
-59.2084	1202.36
-59.0396	1198.94
-58.8707	1211.76
-58.7019	1206.1
-58.5331	1188.26
-58.3642	1194.46
-58.1954	1204.84
-58.0266	1198.18
-57.8578	1208.18
-57.6889	1224.44
-57.5201	1221.04
-57.3513	1229.64
-57.1824	1223.24
-57.0136	1219.4
-56.8448	1226.44
-56.6759	1225.22
-56.5071	1235.26
-56.3383	1240.06
-56.1694	1238.3
-56.0006	1239.84
-55.8318	1253.94
-55.6629	1238.94
-55.4941	1250.02
-55.3253	1259.06
-55.1565	1254.72
-54.9876	1261.5
-54.8188	1265.46
-54.65	1267.92
-54.4811	1270.66
-54.3123	1278.84
-54.1435	1274.1
-53.9746	1275.58
-53.8058	1290.74
-53.637	1301.1
-53.4681	1301
-53.2993	1299.36
-53.1305	1312.86
-52.9616	1322.38
-52.7928	1317.14
-52.624	1318.26
-52.4552	1336.86
-52.2863	1336.5
-52.1175	1341.36
-51.9487	1357.64
-51.7798	1369.6
-51.611	1370.7
-51.4422	1371.44
-51.2733	1378.22
-51.1045	1385.84
-50.9357	1393.18
-50.7668	1408.28
-50.598	1422.48
-50.4292	1423.44
-50.2604	1439.16
-50.0915	1450.54
-49.9227	1454.56
-49.7539	1472.18
-49.585	1485.58
-49.4162	1488.44
-49.2474	1496.76
-49.0785	1519.58
-48.9097	1533.66
-48.7409	1536.74
-48.572	1550.08
-48.4032	1558.5
-48.2344	1566.64
-48.0655	1590.44
-47.8967	1604.4
-47.7279	1617.96
-47.5591	1632.6
-47.3902	1656.92
-47.2214	1669.14
-47.0526	1680.7
-46.8837	1699.96
-46.7149	1707.82
-46.5461	1720.34
-46.3772	1744.98
-46.2084	1761.42
-46.0396	1778
-45.8707	1797.28
-45.7019	1821.76
-45.5331	1844.3
-45.3642	1852.26
-45.1954	1869.7
-45.0266	1881.06
-44.8578	1906.88
-44.6889	1915.56
-44.5201	1937.02
-44.3513	1962.3
-44.1824	1985.9
-44.0136	2003.7
-43.8448	2022.72
-43.6759	2037.38
-43.5071	2054.34
-43.3383	2085.12
-43.1694	2101.68
-43.0006	2119.8
-42.8318	2143.08
-42.6629	2156.06
-42.4941	2179.22
-42.3253	2193.68
-42.1565	2207.08
-41.9876	2219.28
-41.8188	2232.84
-41.65	2264.98
-41.4811	2278.96
-41.3123	2296.2
-41.1435	2328.76
-40.9746	2343.64
-40.8058	2352.48
-40.637	2358.32
-40.4681	2370.84
-40.2993	2396.96
-40.1305	2410.78
-39.9616	2428.18
-39.7928	2441.86
-39.624	2448.36
-39.4552	2449.06
-39.2863	2457.1
-39.1175	2471.1
-38.9487	2487
-38.7798	2493.1
