# stepparam	sweepparam	measured
# "stepparam"	"sweepparam"	"measured"
# 85	84
-30	-30	-4.76279e+06
-30	-29.2857	-4.75813e+06
-30	-28.5714	-4.74807e+06
-30	-27.8571	-4.73245e+06
-30	-27.1429	-4.7239e+06
-30	-26.4286	-4.71426e+06
-30	-25.7143	-4.70982e+06
-30	-25	-4.69856e+06
-30	-24.2857	-4.69696e+06
-30	-23.5714	-4.69119e+06
-30	-22.8571	-4.68111e+06
-30	-22.1429	-4.68245e+06
-30	-21.4286	-4.66923e+06
-30	-20.7143	-4.66204e+06
-30	-20	-4.65867e+06
-30	-19.2857	-4.65083e+06
-30	-18.5714	-4.64707e+06
-30	-17.8571	-4.64871e+06
-30	-17.1429	-4.6504e+06
-30	-16.4286	-4.65134e+06
-30	-15.7143	-4.6436e+06
-30	-15	-4.63712e+06
-30	-14.2857	-4.63742e+06
-30	-13.5714	-4.6263e+06
-30	-12.8571	-4.62476e+06
-30	-12.1429	-4.62403e+06
-30	-11.4286	-4.62159e+06
-30	-10.7143	-4.61724e+06
-30	-10	-4.61394e+06
-30	-9.28571	-4.60832e+06
-30	-8.57143	-4.60755e+06
-30	-7.85714	-4.59993e+06
-30	-7.14286	-4.60213e+06
-30	-6.42857	-4.60802e+06
-30	-5.71429	-4.62991e+06
-30	-5	-4.73201e+06
-30	-4.28571	-4.82702e+06
-30	-3.57143	-4.86985e+06
-30	-2.85714	-4.89281e+06
-30	-2.14286	-4.89909e+06
-30	-1.42857	-4.89593e+06
-30	-0.714286	-4.89789e+06
-30	0	-4.89904e+06
-30	0.714286	-4.89746e+06
-30	1.42857	-4.89753e+06
-30	2.14286	-4.89958e+06
-30	2.85714	-4.90226e+06
-30	3.57143	-4.90953e+06
-30	4.28571	-4.90078e+06
-30	5	-4.90126e+06
-30	5.71429	-4.88930e+06
-30	6.42857	-4.88738e+06
-30	7.14286	-4.88477e+06
-30	7.85714	-4.88568e+06
-30	8.57143	-4.88828e+06
-30	9.28571	-4.87496e+06
-30	10	-4.87497e+06
-30	10.7143	-4.88194e+06
-30	11.4286	-4.87626e+06
-30	12.1429	-4.86809e+06
-30	12.8571	-4.86569e+06
-30	13.5714	-4.86583e+06
-30	14.2857	-4.86933e+06
-30	15	-4.8663e+06
-30	15.7143	-4.86106e+06
-30	16.4286	-4.85523e+06
-30	17.1429	-4.85405e+06
-30	17.8571	-4.84594e+06
-30	18.5714	-4.84718e+06
-30	19.2857	-4.83757e+06
-30	20	-4.82642e+06
-30	20.7143	-4.82271e+06
-30	21.4286	-4.81484e+06
-30	22.1429	-4.79916e+06
-30	22.8571	-4.7915e+06
-30	23.5714	-4.78827e+06
-30	24.2857	-4.77297e+06
-30	25	-4.75928e+06
-30	25.7143	-4.74751e+06
-30	26.4286	-4.72704e+06
-30	27.1429	-4.7235e+06
-30	27.8571	-4.71099e+06
-30	28.5714	-4.69952e+06
-30	29.2857	-4.6884e+06

-29.2941	-30	-4.72984e+06
-29.2941	-29.2857	-4.71115e+06
-29.2941	-28.5714	-4.69294e+06
-29.2941	-27.8571	-4.68822e+06
-29.2941	-27.1429	-4.68265e+06
-29.2941	-26.4286	-4.66345e+06
-29.2941	-25.7143	-4.65861e+06
-29.2941	-25	-4.64527e+06
-29.2941	-24.2857	-4.63756e+06
-29.2941	-23.5714	-4.62781e+06
-29.2941	-22.8571	-4.62356e+06
-29.2941	-22.1429	-4.61742e+06
-29.2941	-21.4286	-4.60857e+06
-29.2941	-20.7143	-4.60696e+06
-29.2941	-20	-4.60842e+06
-29.2941	-19.2857	-4.60503e+06
-29.2941	-18.5714	-4.59368e+06
-29.2941	-17.8571	-4.59004e+06
-29.2941	-17.1429	-4.59700e+06
-29.2941	-16.4286	-4.59037e+06
-29.2941	-15.7143	-4.58774e+06
-29.2941	-15	-4.58160e+06
-29.2941	-14.2857	-4.58271e+06
-29.2941	-13.5714	-4.5762e+06
-29.2941	-12.8571	-4.56398e+06
-29.2941	-12.1429	-4.56461e+06
-29.2941	-11.4286	-4.56823e+06
-29.2941	-10.7143	-4.56354e+06
-29.2941	-10	-4.54774e+06
-29.2941	-9.28571	-4.54693e+06
-29.2941	-8.57143	-4.5444e+06
-29.2941	-7.85714	-4.53856e+06
-29.2941	-7.14286	-4.54719e+06
-29.2941	-6.42857	-4.53424e+06
-29.2941	-5.71429	-4.57742e+06
-29.2941	-5	-4.70259e+06
-29.2941	-4.28571	-4.79675e+06
-29.2941	-3.57143	-4.84193e+06
-29.2941	-2.85714	-4.86086e+06
-29.2941	-2.14286	-4.86897e+06
-29.2941	-1.42857	-4.86538e+06
-29.2941	-0.714286	-4.86694e+06
-29.2941	0	-4.86404e+06
-29.2941	0.714286	-4.85894e+06
-29.2941	1.42857	-4.85861e+06
-29.2941	2.14286	-4.85095e+06
-29.2941	2.85714	-4.85178e+06
-29.2941	3.57143	-4.86086e+06
-29.2941	4.28571	-4.86752e+06
-29.2941	5	-4.86510e+06
-29.2941	5.71429	-4.85997e+06
-29.2941	6.42857	-4.85047e+06
-29.2941	7.14286	-4.84884e+06
-29.2941	7.85714	-4.85124e+06
-29.2941	8.57143	-4.85578e+06
-29.2941	9.28571	-4.84706e+06
-29.2941	10	-4.83054e+06
-29.2941	10.7143	-4.83228e+06
-29.2941	11.4286	-4.83967e+06
-29.2941	12.1429	-4.83972e+06
-29.2941	12.8571	-4.83372e+06
-29.2941	13.5714	-4.8195e+06
-29.2941	14.2857	-4.82068e+06
-29.2941	15	-4.81505e+06
-29.2941	15.7143	-4.81834e+06
-29.2941	16.4286	-4.81492e+06
-29.2941	17.1429	-4.80804e+06
-29.2941	17.8571	-4.81185e+06
-29.2941	18.5714	-4.80888e+06
-29.2941	19.2857	-4.80161e+06
-29.2941	20	-4.78679e+06
-29.2941	20.7143	-4.77763e+06
-29.2941	21.4286	-4.76372e+06
-29.2941	22.1429	-4.75864e+06
-29.2941	22.8571	-4.75548e+06
-29.2941	23.5714	-4.74343e+06
-29.2941	24.2857	-4.71626e+06
-29.2941	25	-4.71038e+06
-29.2941	25.7143	-4.70236e+06
-29.2941	26.4286	-4.68945e+06
-29.2941	27.1429	-4.67679e+06
-29.2941	27.8571	-4.67134e+06
-29.2941	28.5714	-4.66127e+06
-29.2941	29.2857	-4.64656e+06

-28.5882	-30	-4.6902e+06
-28.5882	-29.2857	-4.65984e+06
-28.5882	-28.5714	-4.64749e+06
-28.5882	-27.8571	-4.63154e+06
-28.5882	-27.1429	-4.62155e+06
-28.5882	-26.4286	-4.61553e+06
-28.5882	-25.7143	-4.6036e+06
-28.5882	-25	-4.59304e+06
-28.5882	-24.2857	-4.57626e+06
-28.5882	-23.5714	-4.57565e+06
-28.5882	-22.8571	-4.57192e+06
-28.5882	-22.1429	-4.56123e+06
-28.5882	-21.4286	-4.56273e+06
-28.5882	-20.7143	-4.5716e+06
-28.5882	-20	-4.54616e+06
-28.5882	-19.2857	-4.53654e+06
-28.5882	-18.5714	-4.54541e+06
-28.5882	-17.8571	-4.53637e+06
-28.5882	-17.1429	-4.52595e+06
-28.5882	-16.4286	-4.53815e+06
-28.5882	-15.7143	-4.52818e+06
-28.5882	-15	-4.52444e+06
-28.5882	-14.2857	-4.51599e+06
-28.5882	-13.5714	-4.51617e+06
-28.5882	-12.8571	-4.52054e+06
-28.5882	-12.1429	-4.51186e+06
-28.5882	-11.4286	-4.5069e+06
-28.5882	-10.7143	-4.49716e+06
-28.5882	-10	-4.49929e+06
-28.5882	-9.28571	-4.49353e+06
-28.5882	-8.57143	-4.48706e+06
-28.5882	-7.85714	-4.48311e+06
-28.5882	-7.14286	-4.4776e+06
-28.5882	-6.42857	-4.47863e+06
-28.5882	-5.71429	-4.53421e+06
-28.5882	-5	-4.67018e+06
-28.5882	-4.28571	-4.76362e+06
-28.5882	-3.57143	-4.80409e+06
-28.5882	-2.85714	-4.81856e+06
-28.5882	-2.14286	-4.82882e+06
-28.5882	-1.42857	-4.8232e+06
-28.5882	-0.714286	-4.8264e+06
-28.5882	0	-4.82482e+06
-28.5882	0.714286	-4.81995e+06
-28.5882	1.42857	-4.82004e+06
-28.5882	2.14286	-4.82366e+06
-28.5882	2.85714	-4.80987e+06
-28.5882	3.57143	-4.81432e+06
-28.5882	4.28571	-4.81343e+06
-28.5882	5	-4.81273e+06
-28.5882	5.71429	-4.80571e+06
-28.5882	6.42857	-4.80665e+06
-28.5882	7.14286	-4.79588e+06
-28.5882	7.85714	-4.80244e+06
-28.5882	8.57143	-4.80062e+06
-28.5882	9.28571	-4.79249e+06
-28.5882	10	-4.79618e+06
-28.5882	10.7143	-4.79758e+06
-28.5882	11.4286	-4.7902e+06
-28.5882	12.1429	-4.77778e+06
-28.5882	12.8571	-4.78161e+06
-28.5882	13.5714	-4.78232e+06
-28.5882	14.2857	-4.77829e+06
-28.5882	15	-4.77815e+06
-28.5882	15.7143	-4.77404e+06
-28.5882	16.4286	-4.76616e+06
-28.5882	17.1429	-4.76822e+06
-28.5882	17.8571	-4.76913e+06
-28.5882	18.5714	-4.76129e+06
-28.5882	19.2857	-4.75384e+06
-28.5882	20	-4.73368e+06
-28.5882	20.7143	-4.72462e+06
-28.5882	21.4286	-4.72712e+06
-28.5882	22.1429	-4.71322e+06
-28.5882	22.8571	-4.70413e+06
-28.5882	23.5714	-4.69312e+06
-28.5882	24.2857	-4.68374e+06
-28.5882	25	-4.67806e+06
-28.5882	25.7143	-4.65358e+06
-28.5882	26.4286	-4.63677e+06
-28.5882	27.1429	-4.62503e+06
-28.5882	27.8571	-4.61225e+06
-28.5882	28.5714	-4.60378e+06
-28.5882	29.2857	-4.58984e+06

-27.8824	-30	-4.65382e+06
-27.8824	-29.2857	-4.62423e+06
-27.8824	-28.5714	-4.60172e+06
-27.8824	-27.8571	-4.58877e+06
-27.8824	-27.1429	-4.57148e+06
-27.8824	-26.4286	-4.55542e+06
-27.8824	-25.7143	-4.53902e+06
-27.8824	-25	-4.52537e+06
-27.8824	-24.2857	-4.52106e+06
-27.8824	-23.5714	-4.51873e+06
-27.8824	-22.8571	-4.51878e+06
-27.8824	-22.1429	-4.51351e+06
-27.8824	-21.4286	-4.5054e+06
-27.8824	-20.7143	-4.50413e+06
-27.8824	-20	-4.49151e+06
-27.8824	-19.2857	-4.48007e+06
-27.8824	-18.5714	-4.47789e+06
-27.8824	-17.8571	-4.47202e+06
-27.8824	-17.1429	-4.48116e+06
-27.8824	-16.4286	-4.47961e+06
-27.8824	-15.7143	-4.4706e+06
-27.8824	-15	-4.46268e+06
-27.8824	-14.2857	-4.45969e+06
-27.8824	-13.5714	-4.45424e+06
-27.8824	-12.8571	-4.45112e+06
-27.8824	-12.1429	-4.45006e+06
