# mwsource_frequency	sweepparam	measured
# "mwsource_frequency"	"sweepparam"	"measured"
# 100	928
4e+10	-5	589256
4e+10	-4.98922	601081
4e+10	-4.97845	607925
4e+10	-4.96767	620583
4e+10	-4.9569	619852
4e+10	-4.94612	608617
4e+10	-4.93534	617569
4e+10	-4.92457	614912
4e+10	-4.91379	611787
4e+10	-4.90302	621762
4e+10	-4.89224	612953
4e+10	-4.88147	625631
4e+10	-4.87069	630502
4e+10	-4.85991	629998
4e+10	-4.84914	630663
4e+10	-4.83836	632700
4e+10	-4.82759	621609
4e+10	-4.81681	624170
4e+10	-4.80603	629451
4e+10	-4.79526	631257
4e+10	-4.78448	630280
4e+10	-4.77371	639692
4e+10	-4.76293	644864
4e+10	-4.75216	644473
4e+10	-4.74138	644718
4e+10	-4.7306	648925
4e+10	-4.71983	647061
4e+10	-4.70905	650603
4e+10	-4.69828	654079
4e+10	-4.6875	651470
4e+10	-4.67672	648914
4e+10	-4.66595	647771
4e+10	-4.65517	647419
4e+10	-4.6444	654742
4e+10	-4.63362	651491
4e+10	-4.62284	666553
4e+10	-4.61207	662486
4e+10	-4.60129	659936
4e+10	-4.59052	658422
4e+10	-4.57974	660348
4e+10	-4.56897	675422
4e+10	-4.55819	666904
4e+10	-4.54741	661373
4e+10	-4.53664	669493
4e+10	-4.52586	668838
4e+10	-4.51509	662280
4e+10	-4.50431	663077
4e+10	-4.49353	664251
4e+10	-4.48276	660892
4e+10	-4.47198	664019
4e+10	-4.46121	671649
4e+10	-4.45043	674800
4e+10	-4.43966	678021
4e+10	-4.42888	673012
4e+10	-4.4181	670022
4e+10	-4.40733	678910
4e+10	-4.39655	676392
4e+10	-4.38578	674462
4e+10	-4.375	679880
4e+10	-4.36422	682008
4e+10	-4.35345	677244
4e+10	-4.34267	677700
4e+10	-4.3319	689898
4e+10	-4.32112	686667
4e+10	-4.31034	680138
4e+10	-4.29957	689029
4e+10	-4.28879	683700
4e+10	-4.27802	689401
4e+10	-4.26724	690937
4e+10	-4.25647	683680
4e+10	-4.24569	678563
4e+10	-4.23491	685377
4e+10	-4.22414	683857
4e+10	-4.21336	684860
4e+10	-4.20259	692899
4e+10	-4.19181	695792
4e+10	-4.18103	696476
4e+10	-4.17026	698583
4e+10	-4.15948	700811
4e+10	-4.14871	702939
4e+10	-4.13793	699167
4e+10	-4.12716	703422
4e+10	-4.11638	715595
4e+10	-4.1056	714102
4e+10	-4.09483	702738
4e+10	-4.08405	702293
4e+10	-4.07328	704187
4e+10	-4.0625	707959
4e+10	-4.05172	706672
4e+10	-4.04095	704514
4e+10	-4.03017	701482
4e+10	-4.0194	699968
4e+10	-4.00862	704088
4e+10	-3.99784	703219
4e+10	-3.98707	706574
4e+10	-3.97629	711011
4e+10	-3.96552	708262
4e+10	-3.95474	704315
4e+10	-3.94397	707837
4e+10	-3.93319	713788
4e+10	-3.92241	713661
4e+10	-3.91164	712946
4e+10	-3.90086	720700
4e+10	-3.89009	722762
4e+10	-3.87931	718002
4e+10	-3.86853	715665
4e+10	-3.85776	719286
4e+10	-3.84698	709722
4e+10	-3.83621	704551
4e+10	-3.82543	710467
4e+10	-3.81466	722852
4e+10	-3.80388	718643
4e+10	-3.7931	719886
4e+10	-3.78233	720191
4e+10	-3.77155	721893
4e+10	-3.76078	713618
4e+10	-3.75	714786
4e+10	-3.73922	718327
4e+10	-3.72845	723720
4e+10	-3.71767	715949
4e+10	-3.7069	715046
4e+10	-3.69612	721852
4e+10	-3.68534	722080
4e+10	-3.67457	727045
4e+10	-3.66379	710189
4e+10	-3.65302	708840
4e+10	-3.64224	719007
4e+10	-3.63147	725182
4e+10	-3.62069	716857
4e+10	-3.60991	713240
4e+10	-3.59914	708996
4e+10	-3.58836	719028
4e+10	-3.57759	725644
4e+10	-3.56681	721461
4e+10	-3.55603	716977
4e+10	-3.54526	717754
4e+10	-3.53448	723283
4e+10	-3.52371	713810
4e+10	-3.51293	719091
4e+10	-3.50216	718099
4e+10	-3.49138	727299
4e+10	-3.4806	731506
4e+10	-3.46983	731208
4e+10	-3.45905	730351
4e+10	-3.44828	734317
4e+10	-3.4375	730117
4e+10	-3.42672	728671
4e+10	-3.41595	726172
4e+10	-3.40517	727144
4e+10	-3.3944	730039
4e+10	-3.38362	722332
4e+10	-3.37284	722199
4e+10	-3.36207	721612
4e+10	-3.35129	725434
4e+10	-3.34052	726267
4e+10	-3.32974	732981
4e+10	-3.31897	729430
4e+10	-3.30819	723419
4e+10	-3.29741	720171
4e+10	-3.28664	729558
