# gates_P4_set	keithley2_amplitude
# "P4"	"keithley2"
# 800
-14.8837	0.541892
-14.8637	0.53785
-14.8437	0.518436
-14.8237	0.506854
-14.8037	0.508039
-14.7837	0.501961
-14.7637	0.499078
-14.7437	0.497911
-14.7237	0.497402
-14.7037	0.499649
-14.6837	0.497494
-14.6637	0.500082
-14.6437	0.501638
-14.6237	0.500781
-14.6037	0.496807
-14.5837	0.501383
-14.5637	0.500935
-14.5437	0.506345
-14.5237	0.496918
-14.5037	0.487777
-14.4837	0.492153
-14.4637	0.500896
-14.4437	0.501295
-14.4237	0.506347
-14.4037	0.503201
-14.3837	0.501443
-14.3637	0.498804
-14.3437	0.498505
-14.3237	0.499532
-14.3037	0.502327
-14.2837	0.499321
-14.2637	0.500478
-14.2437	0.502219
-14.2237	0.498881
-14.2037	0.503618
-14.1837	0.5062
-14.1637	0.505376
-14.1437	0.500379
-14.1237	0.505217
-14.1037	0.502813
-14.0837	0.507158
-14.0637	0.503819
-14.0437	0.502805
-14.0237	0.504216
-14.0037	0.502828
-13.9837	0.505706
-13.9637	0.50711
-13.9437	0.509129
-13.9237	0.502442
-13.9037	0.503375
-13.8837	0.503717
-13.8637	0.507049
-13.8437	0.507277
-13.8237	0.508796
-13.8037	0.508504
-13.7837	0.509228
-13.7637	0.509291
-13.7437	0.510918
-13.7237	0.506867
-13.7037	0.505671
-13.6837	0.508508
-13.6637	0.50511
-13.6437	0.512724
-13.6237	0.506721
-13.6037	0.505099
-13.5837	0.50966
-13.5637	0.508135
-13.5437	0.508415
-13.5237	0.512467
-13.5037	0.510621
-13.4837	0.512395
-13.4637	0.510087
-13.4437	0.50844
-13.4237	0.51201
-13.4037	0.511832
-13.3837	0.511395
-13.3637	0.51153
-13.3437	0.512634
-13.3237	0.515201
-13.3037	0.515572
-13.2837	0.512294
-13.2637	0.512912
-13.2437	0.515644
-13.2237	0.519155
-13.2037	0.510508
-13.1837	0.513218
-13.1637	0.512653
-13.1437	0.514176
-13.1237	0.513202
-13.1037	0.510495
-13.0837	0.512654
-13.0637	0.516895
-13.0437	0.514616
-13.0237	0.50978
-13.0037	0.511543
-12.9837	0.510495
-12.9637	0.509947
-12.9437	0.517658
-12.9237	0.517356
-12.9037	0.514704
-12.8837	0.521823
-12.8637	0.51419
-12.8437	0.517346
-12.8237	0.51711
-12.8037	0.518922
-12.7837	0.518434
-12.7637	0.517803
-12.7437	0.522363
-12.7237	0.517995
-12.7037	0.515243
-12.6837	0.514817
-12.6637	0.516625
-12.6437	0.52223
-12.6237	0.523082
-12.6037	0.516938
-12.5837	0.520865
-12.5637	0.520674
-12.5437	0.522552
-12.5237	0.522641
-12.5037	0.521336
-12.4837	0.514683
-12.4637	0.521863
-12.4437	0.519502
-12.4237	0.522427
-12.4037	0.52324
-12.3837	0.519454
-12.3637	0.517878
-12.3437	0.524042
-12.3237	0.518239
-12.3037	0.52374
-12.2837	0.524322
-12.2637	0.527312
-12.2437	0.526047
-12.2237	0.520783
-12.2037	0.525058
-12.1837	0.529031
-12.1637	0.52756
-12.1437	0.526327
-12.1237	0.529117
-12.1037	0.525549
-12.0837	0.528713
-12.0637	0.528792
-12.0437	0.524523
-12.0237	0.527126
-12.0037	0.526273
-11.9837	0.528371
-11.9637	0.527675
-11.9437	0.527145
-11.9237	0.527982
-11.9037	0.523255
-11.8837	0.528044
-11.8637	0.532209
-11.8437	0.530753
-11.8237	0.520111
-11.8037	0.526747
-11.7837	0.530627
-11.7637	0.528613
-11.7437	0.528947
-11.7237	0.528665
-11.7037	0.531265
-11.6837	0.52887
-11.6637	0.525196
-11.6437	0.530165
-11.6237	0.524292
-11.6037	0.530934
-11.5837	0.533774
-11.5637	0.535567
-11.5437	0.536906
-11.5237	0.529486
-11.5037	0.532389
-11.4837	0.533607
-11.4637	0.529728
-11.4437	0.531697
-11.4237	0.533857
-11.4037	0.530984
-11.3837	0.534533
-11.3637	0.530909
-11.3437	0.534478
-11.3237	0.538192
-11.3037	0.535132
-11.2837	0.533424
-11.2637	0.530848
-11.2437	0.535687
-11.2237	0.532942
-11.2037	0.527721
-11.1837	0.538155
-11.1637	0.537466
-11.1437	0.535969
-11.1237	0.539679
-11.1037	0.536895
-11.0837	0.534889
-11.0637	0.529093
-11.0437	0.536288
-11.0237	0.538473
-11.0037	0.533731
-10.9837	0.531051
-10.9637	0.537973
-10.9437	0.537609
-10.9237	0.537001
-10.9037	0.537913
-10.8837	0.538931
-10.8637	0.540193
-10.8437	0.5399
-10.8237	0.535093
-10.8037	0.51633
-10.7837	0.541692
-10.7637	0.538952
-10.7437	0.541212
-10.7237	0.538039
-10.7037	0.534224
-10.6837	0.534649
-10.6637	0.535154
-10.6437	0.535424
-10.6237	0.535293
-10.6037	0.534848
-10.5837	0.536482
-10.5637	0.538837
-10.5437	0.537944
-10.5237	0.5395
-10.5037	0.543103
-10.4837	0.545871
-10.4637	0.540118
-10.4437	0.540689
-10.4237	0.542629
-10.4037	0.54103
-10.3837	0.547905
-10.3637	0.546996
-10.3437	0.544836
-10.3237	0.546561
-10.3037	0.547695
-10.2837	0.543178
-10.2637	0.543772
-10.2437	0.544284
-10.2237	0.54585
-10.2037	0.548025
-10.1837	0.547309
-10.1637	0.5473
-10.1437	0.54587
-10.1237	0.539115
-10.1037	0.544219
-10.0837	0.545766
-10.0637	0.549244
-10.0437	0.544889
-10.0237	0.542059
-10.0037	0.546739
-9.98369	0.546075
-9.96369	0.545995
-9.94369	0.547899
-9.92369	0.54661
-9.90369	0.550085
-9.88369	0.547968
-9.86369	0.551468
-9.84369	0.548804
-9.82369	0.549759
-9.80369	0.549211
-9.78369	0.551652
-9.76369	0.548355
-9.74369	0.550998
-9.72369	0.543365
-9.70369	0.547815
-9.68369	0.548951
-9.66369	0.551025
-9.64369	0.549471
-9.62369	0.549423
-9.60369	0.545705
-9.58369	0.552266
-9.56369	0.546975
-9.54369	0.553962
-9.52369	0.549519
-9.50369	0.555959
-9.48369	0.553658
-9.46369	0.552814
-9.44369	0.554079
-9.42369	0.551244
-9.40369	0.554409
-9.38369	0.557386
-9.36369	0.551767
-9.34369	0.554803
-9.32369	0.556388
-9.30369	0.55859
-9.28369	0.555187
-9.26369	0.553548
-9.24369	0.552532
-9.22369	0.559637
-9.20369	0.556157
-9.18369	0.554717
-9.16369	0.556057
-9.14369	0.555489
-9.12369	0.547609
-9.10369	0.554428
-9.08369	0.55569
-9.06369	0.5563
-9.04369	0.556985
-9.02369	0.556667
-9.00369	0.560379
-8.98369	0.554422
-8.96369	0.562882
-8.94369	0.55605
-8.92369	0.560851
-8.90369	0.558329
-8.88369	0.559009
-8.86369	0.560407
-8.84369	0.555717
-8.82369	0.559035
-8.80369	0.55763
-8.78369	0.546694
-8.76369	0.55638
-8.74369	0.559468
-8.72369	0.557213
-8.70369	0.561022
-8.68369	0.559757
-8.66369	0.55926
-8.64369	0.561587
-8.62369	0.564448
-8.60369	0.56497
-8.58369	0.558382
-8.56369	0.558034
-8.54369	0.561528
-8.52369	0.55538
-8.50369	0.559823
-8.48369	0.565125
-8.46369	0.555996
-8.44369	0.558713
-8.42369	0.559558
-8.40369	0.561303
-8.38369	0.561896
-8.36369	0.564737
-8.34369	0.561621
-8.32369	0.563659
-8.30369	0.562696
-8.28369	0.562548
-8.26369	0.568411
-8.24369	0.564839
-8.22369	0.56568
-8.20369	0.564316
-8.18369	0.565272
-8.16369	0.563812
-8.14369	0.562371
-8.12369	0.570427
-8.10369	0.567876
-8.08369	0.566932
-8.06369	0.568067
-8.04369	0.563602
-8.02369	0.56292
-8.00369	0.567082
-7.98369	0.568916
-7.96369	0.573384
-7.94369	0.564176
-7.92369	0.567224
-7.90369	0.568318
-7.88369	0.567162
-7.86369	0.566434
-7.84369	0.56995
-7.82369	0.571973
-7.80369	0.566433
-7.78369	0.56579
-7.76369	0.566369
-7.74369	0.566659
-7.72369	0.57261
-7.70369	0.568288
-7.68369	0.569359
-7.66369	0.565929
-7.64369	0.570982
-7.62369	0.568076
-7.60369	0.57221
-7.58369	0.570227
-7.56369	0.569279
-7.54369	0.567954
-7.52369	0.571817
-7.50369	0.566764
-7.48369	0.57208
-7.46369	0.573257
-7.44369	0.569837
-7.42369	0.570067
-7.40369	0.56756
-7.38369	0.567653
-7.36369	0.572562
-7.34369	0.56859
-7.32369	0.577645
-7.30369	0.576567
-7.28369	0.569373
-7.26369	0.569249
-7.24369	0.569779
-7.22369	0.568798
-7.20369	0.57147
-7.18369	0.573304
-7.16369	0.570998
-7.14369	0.573764
-7.12369	0.574767
-7.10369	0.578205
-7.08369	0.575264
-7.06369	0.577939
-7.04369	0.576643
-7.02369	0.575348
-7.00369	0.575566
-6.98369	0.577609
-6.96369	0.576744
-6.94369	0.573232
-6.92369	0.573643
-6.90369	0.581001
-6.88369	0.555112
-6.86369	0.576802
-6.84369	0.578901
-6.82369	0.581445
-6.80369	0.5814
-6.78369	0.574996
-6.76369	0.577961
-6.74369	0.580643
-6.72369	0.578846
-6.70369	0.578582
-6.68369	0.581616
-6.66369	0.579687
-6.64369	0.576219
-6.62369	0.579259
-6.60369	0.580573
-6.58369	0.585231
-6.56369	0.578306
-6.54369	0.581906
-6.52369	0.586691
-6.50369	0.578279
-6.48369	0.584335
-6.46369	0.582795
-6.44369	0.585689
-6.42369	0.587589
-6.40369	0.58322
-6.38369	0.576652
-6.36369	0.585784
-6.34369	0.586717
-6.32369	0.585045
-6.30369	0.584324
-6.28369	0.585961
-6.26369	0.589081
-6.24369	0.582343
-6.22369	0.581957
-6.20369	0.588217
-6.18369	0.587338
-6.16369	0.586233
-6.14369	0.592876
-6.12369	0.590478
-6.10369	0.583572
-6.08369	0.586554
-6.06369	0.591061
-6.04369	0.588963
-6.02369	0.589279
-6.00369	0.592213
-5.98369	0.588871
-5.96369	0.581845
-5.94369	0.589615
