# sweepparam	measured1
# "sweepparam"	"measured1"
# 928
-3	-294455
-2.99353	-282292
-2.98707	-283302
-2.9806	-286368
-2.97414	-289885
-2.96767	-291904
-2.96121	-294349
-2.95474	-296192
-2.94828	-288371
-2.94181	-287184
-2.93534	-289322
-2.92888	-284664
-2.92241	-285200
-2.91595	-284695
-2.90948	-281568
-2.90302	-277770
-2.89655	-285196
-2.89009	-284334
-2.88362	-279691
-2.87716	-271514
-2.87069	-278436
-2.86422	-277659
-2.85776	-280832
-2.85129	-282651
-2.84483	-278223
-2.83836	-282992
-2.8319	-278297
-2.82543	-282228
-2.81897	-279526
-2.8125	-274890
-2.80603	-263599
-2.79957	-267000
-2.7931	-275209
-2.78664	-263481
-2.78017	-268561
-2.77371	-268177
-2.76724	-261347
-2.76078	-259577
-2.75431	-256418
-2.74784	-253363
-2.74138	-262889
-2.73491	-267236
-2.72845	-261536
-2.72198	-262975
-2.71552	-264987
-2.70905	-259534
-2.70259	-250751
-2.69612	-249130
-2.68966	-247750
-2.68319	-254076
-2.67672	-251993
-2.67026	-250105
-2.66379	-245170
-2.65733	-247349
-2.65086	-245093
-2.6444	-245323
-2.63793	-243014
-2.63147	-237481
-2.625	-242467
-2.61853	-246717
-2.61207	-242308
-2.6056	-232121
-2.59914	-233212
-2.59267	-237166
-2.58621	-234857
-2.57974	-231507
-2.57328	-227733
-2.56681	-232879
-2.56034	-234860
-2.55388	-236221
-2.54741	-233664
-2.54095	-232744
-2.53448	-223385
-2.52802	-227587
-2.52155	-222526
-2.51509	-222732
-2.50862	-215682
-2.50216	-217021
-2.49569	-217577
-2.48922	-217105
-2.48276	-210004
-2.47629	-213409
-2.46983	-218544
-2.46336	-208046
-2.4569	-220208
-2.45043	-216608
-2.44397	-207815
-2.4375	-202904
-2.43103	-202159
-2.42457	-195754
-2.4181	-199551
-2.41164	-199350
-2.40517	-197166
-2.39871	-197522
-2.39224	-207502
-2.38578	-198065
-2.37931	-199977
-2.37284	-197197
-2.36638	-196794
-2.35991	-200223
-2.35345	-195704
-2.34698	-188821
-2.34052	-185097
-2.33405	-196323
-2.32759	-192437
-2.32112	-190082
-2.31466	-197389
-2.30819	-193290
-2.30172	-191151
-2.29526	-185864
-2.28879	-177643
-2.28233	-180457
-2.27586	-181708
-2.2694	-180361
-2.26293	-174454
-2.25647	-170373
-2.25	-182981
-2.24353	-182652
-2.23707	-182396
-2.2306	-184276
-2.22414	-179064
-2.21767	-170693
-2.21121	-169694
-2.20474	-176422
-2.19828	-173254
-2.19181	-168059
-2.18534	-161182
-2.17888	-168073
-2.17241	-169243
-2.16595	-171503
-2.15948	-166930
-2.15302	-171632
-2.14655	-175066
-2.14009	-172572
-2.13362	-164171
-2.12716	-173143
-2.12069	-174041
-2.11422	-169901
-2.10776	-177960
-2.10129	-163553
-2.09483	-158317
-2.08836	-161194
-2.0819	-172074
-2.07543	-161566
-2.06897	-155721
-2.0625	-144985
-2.05603	-147846
-2.04957	-151911
-2.0431	-144820
-2.03664	-145423
-2.03017	-144680
-2.02371	-152308
-2.01724	-148630
-2.01078	-133842
-2.00431	-138564
-1.99784	-146774
-1.99138	-142926
-1.98491	-141173
-1.97845	-135209
-1.97198	-145096
-1.96552	-143603
-1.95905	-140377
-1.95259	-142628
-1.94612	-131699
-1.93966	-139031
-1.93319	-139766
-1.92672	-141716
-1.92026	-137856
-1.91379	-131268
-1.90733	-137401
-1.90086	-138953
-1.8944	-135658
-1.88793	-126044
-1.88147	-130796
-1.875	-118380
-1.86853	-121666
-1.86207	-117916
-1.8556	-116223
-1.84914	-109543
-1.84267	-119271
-1.83621	-130202
-1.82974	-114380
-1.82328	-116661
-1.81681	-136304
-1.81034	-134039
-1.80388	-123607
-1.79741	-125005
-1.79095	-115429
-1.78448	-107103
-1.77802	-115346
-1.77155	-106189
-1.76509	-95757
-1.75862	-101443
-1.75216	-96599
-1.74569	-95494
-1.73922	-103205
-1.73276	-98834
-1.72629	-96225
-1.71983	-102149
-1.71336	-104909
-1.7069	-102888
-1.70043	-104932
-1.69397	-99351
-1.6875	-99238
-1.68103	-95194
-1.67457	-96331
-1.6681	-98016
-1.66164	-96375
-1.65517	-99871
-1.64871	-107861
-1.64224	-100493
-1.63578	-93583
-1.62931	-91328
-1.62284	-91155
-1.61638	-91208
-1.60991	-84775
-1.60345	-86971
-1.59698	-82263
-1.59052	-80835
-1.58405	-79183
-1.57759	-85978
-1.57112	-82665
-1.56466	-82257
-1.55819	-84950
-1.55172	-75785
-1.54526	-68722
-1.53879	-69001
-1.53233	-72816
-1.52586	-71417
-1.5194	-83163
-1.51293	-75800
-1.50647	-81734
-1.5	-80454
-1.49353	-72337
-1.48707	-57728
-1.4806	-57928
-1.47414	-60850
-1.46767	-74392
-1.46121	-70875
-1.45474	-68624
-1.44828	-74298
-1.44181	-75721
-1.43534	-74935
-1.42888	-63580
-1.42241	-60848
-1.41595	-72720
-1.40948	-66742
-1.40302	-62778
-1.39655	-62884
-1.39009	-64364
-1.38362	-65195
-1.37716	-59815
-1.37069	-48457
-1.36422	-60206
-1.35776	-64374
-1.35129	-48138
-1.34483	-48357
-1.33836	-57946
-1.3319	-52527
-1.32543	-54129
-1.31897	-53762
-1.3125	-54979
-1.30603	-54055
-1.29957	-54586
-1.2931	-51613
-1.28664	-44507
-1.28017	-41841
-1.27371	-44951
-1.26724	-52643
-1.26078	-44983
-1.25431	-50757
-1.24784	-48624
-1.24138	-44480
-1.23491	-46102
-1.22845	-44786
-1.22198	-49355
-1.21552	-48161
-1.20905	-42609
-1.20259	-39900
-1.19612	-40627
-1.18966	-46520
-1.18319	-46027
-1.17672	-42759
-1.17026	-41404
-1.16379	-46548
-1.15733	-51070
-1.15086	-36977
-1.1444	-47526
-1.13793	-51945
-1.13147	-44879
-1.125	-46848
-1.11853	-48929
-1.11207	-50278
-1.1056	-45753
-1.09914	-40408
-1.09267	-39833
-1.08621	-34409
-1.07974	-35860
-1.07328	-35033
-1.06681	-35173
-1.06034	-42954
-1.05388	-35526
-1.04741	-38256
-1.04095	-36575
-1.03448	-37310
-1.02802	-36333
-1.02155	-28747
-1.01509	-32903
-1.00862	-41617
-1.00216	-29745
-0.99569	-32547
-0.989224	-29067
-0.982759	-35705
-0.976293	-31503
-0.969828	-30146
-0.963362	-39041
-0.956897	-37588
-0.950431	-34524
-0.943966	-37165
-0.9375	-25068
-0.931034	-29089
-0.924569	-34509
-0.918103	-37893
-0.911638	-30359
-0.905172	-19840
-0.898707	-26255
-0.892241	-30171
-0.885776	-28853
-0.87931	-25328
-0.872845	-26071
-0.866379	-25054
-0.859914	-21692
-0.853448	-27006
-0.846983	-41767
-0.840517	-44660
-0.834052	-33198
-0.827586	-32336
-0.821121	-26555
-0.814655	-28951
-0.80819	-29147
-0.801724	-32237
-0.795259	-32188
-0.788793	-45214
-0.782328	-39620
-0.775862	-30909
