# sweepparam	measured1
# "sweepparam"	"measured1"
# 928
-5	696378
-4.98922	703225
-4.97845	696398
-4.96767	697992
-4.9569	695343
-4.94612	698052
-4.93534	701276
-4.92457	698972
-4.91379	694476
-4.90302	695944
-4.89224	696965
-4.88147	692761
-4.87069	703624
-4.85991	702719
-4.84914	702296
-4.83836	705611
-4.82759	704925
-4.81681	708679
-4.80603	707475
-4.79526	706841
-4.78448	707905
-4.77371	710416
-4.76293	707675
-4.75216	708449
-4.74138	711916
-4.7306	713489
-4.71983	715579
-4.70905	718965
-4.69828	716603
-4.6875	722216
-4.67672	717731
-4.66595	713381
-4.65517	712371
-4.6444	721502
-4.63362	729117
-4.62284	723043
-4.61207	720681
-4.60129	723476
-4.59052	731946
-4.57974	738545
-4.56897	725622
-4.55819	724753
-4.54741	726361
-4.53664	729031
-4.52586	734398
-4.51509	734443
-4.50431	731186
-4.49353	733813
-4.48276	736385
-4.47198	747575
-4.46121	739631
-4.45043	742005
-4.43966	743585
-4.42888	737311
-4.4181	741970
-4.40733	745245
-4.39655	743553
-4.38578	743435
-4.375	745420
-4.36422	751312
-4.35345	747906
-4.34267	751006
-4.3319	753291
-4.32112	754408
-4.31034	746955
-4.29957	749983
-4.28879	751792
-4.27802	747193
-4.26724	755202
-4.25647	753870
-4.24569	745849
-4.23491	744985
-4.22414	746925
-4.21336	742405
-4.20259	743642
-4.19181	753245
-4.18103	755252
-4.17026	754803
-4.15948	740113
-4.14871	740332
-4.13793	750485
-4.12716	751919
-4.11638	758211
-4.1056	761184
-4.09483	753796
-4.08405	760985
-4.07328	761376
-4.0625	756109
-4.05172	759584
-4.04095	757927
-4.03017	761590
-4.0194	770118
-4.00862	764380
-3.99784	761542
-3.98707	774489
-3.97629	769304
-3.96552	770483
-3.95474	765130
-3.94397	759531
-3.93319	773544
-3.92241	767308
-3.91164	768088
-3.90086	770948
-3.89009	764578
-3.87931	764674
-3.86853	773071
-3.85776	769517
-3.84698	778459
-3.83621	777744
-3.82543	772210
-3.81466	779674
-3.80388	780801
-3.7931	769813
-3.78233	771616
-3.77155	769084
-3.76078	769833
-3.75	776360
-3.73922	773533
-3.72845	778077
-3.71767	775571
-3.7069	774064
-3.69612	774668
-3.68534	777204
-3.67457	772813
-3.66379	780612
-3.65302	774380
-3.64224	779771
-3.63147	773799
-3.62069	765119
-3.60991	765886
-3.59914	774084
-3.58836	771105
-3.57759	772264
-3.56681	776555
-3.55603	778506
-3.54526	773353
-3.53448	773906
-3.52371	780022
-3.51293	773253
-3.50216	774949
-3.49138	779057
-3.4806	781350
-3.46983	787657
-3.45905	784535
-3.44828	781304
-3.4375	780313
-3.42672	780542
-3.41595	779834
-3.40517	782347
-3.3944	782485
-3.38362	777340
-3.37284	782394
-3.36207	786168
-3.35129	780751
-3.34052	782535
-3.32974	775543
-3.31897	776156
-3.30819	774308
-3.29741	777545
-3.28664	786480
-3.27586	787486
-3.26509	783213
-3.25431	781090
-3.24353	781368
-3.23276	782139
-3.22198	783339
-3.21121	781880
-3.20043	771297
-3.18966	773737
-3.17888	780018
-3.1681	782915
-3.15733	787670
-3.14655	791940
-3.13578	786183
-3.125	781850
