# mwsource_frequency	sweepparam	measured
# "mwsource_frequency"	"sweepparam"	"measured"
# 100	928
4e+10	-3	-282500
4e+10	-2.99353	-292469
4e+10	-2.98707	-291184
4e+10	-2.9806	-286681
4e+10	-2.97414	-286361
4e+10	-2.96767	-294159
4e+10	-2.96121	-291786
4e+10	-2.95474	-293559
4e+10	-2.94828	-292463
4e+10	-2.94181	-281156
4e+10	-2.93534	-292999
4e+10	-2.92888	-287837
4e+10	-2.92241	-289264
4e+10	-2.91595	-283098
4e+10	-2.90948	-282172
4e+10	-2.90302	-280034
4e+10	-2.89655	-287032
4e+10	-2.89009	-274046
4e+10	-2.88362	-275780
4e+10	-2.87716	-285352
4e+10	-2.87069	-288768
4e+10	-2.86422	-285708
4e+10	-2.85776	-281881
4e+10	-2.85129	-266791
4e+10	-2.84483	-267050
4e+10	-2.83836	-270757
4e+10	-2.8319	-263586
4e+10	-2.82543	-272049
4e+10	-2.81897	-271201
4e+10	-2.8125	-267764
4e+10	-2.80603	-271480
4e+10	-2.79957	-270201
4e+10	-2.7931	-272269
4e+10	-2.78664	-265796
4e+10	-2.78017	-263749
4e+10	-2.77371	-261057
4e+10	-2.76724	-259596
4e+10	-2.76078	-255102
4e+10	-2.75431	-257124
4e+10	-2.74784	-258132
4e+10	-2.74138	-264000
4e+10	-2.73491	-258515
4e+10	-2.72845	-254941
4e+10	-2.72198	-261549
4e+10	-2.71552	-267454
4e+10	-2.70905	-263437
4e+10	-2.70259	-260100
4e+10	-2.69612	-251334
4e+10	-2.68966	-246104
4e+10	-2.68319	-248276
4e+10	-2.67672	-245165
4e+10	-2.67026	-243236
4e+10	-2.66379	-234570
4e+10	-2.65733	-238224
4e+10	-2.65086	-239901
4e+10	-2.6444	-246492
4e+10	-2.63793	-244060
4e+10	-2.63147	-241118
4e+10	-2.625	-237829
4e+10	-2.61853	-238442
4e+10	-2.61207	-232043
4e+10	-2.6056	-240843
4e+10	-2.59914	-237832
4e+10	-2.59267	-233028
4e+10	-2.58621	-233035
4e+10	-2.57974	-231024
4e+10	-2.57328	-232526
4e+10	-2.56681	-229268
4e+10	-2.56034	-222728
4e+10	-2.55388	-222102
4e+10	-2.54741	-227806
4e+10	-2.54095	-224215
4e+10	-2.53448	-227730
4e+10	-2.52802	-233896
4e+10	-2.52155	-229271
4e+10	-2.51509	-216836
4e+10	-2.50862	-216257
4e+10	-2.50216	-220374
4e+10	-2.49569	-218192
4e+10	-2.48922	-221925
4e+10	-2.48276	-220628
4e+10	-2.47629	-216741
4e+10	-2.46983	-209847
4e+10	-2.46336	-209048
4e+10	-2.4569	-205854
4e+10	-2.45043	-210433
4e+10	-2.44397	-217290
4e+10	-2.4375	-216822
4e+10	-2.43103	-209730
4e+10	-2.42457	-219074
4e+10	-2.4181	-224432
4e+10	-2.41164	-208662
4e+10	-2.40517	-196131
4e+10	-2.39871	-198617
4e+10	-2.39224	-212192
4e+10	-2.38578	-212991
4e+10	-2.37931	-204552
4e+10	-2.37284	-196271
4e+10	-2.36638	-192533
4e+10	-2.35991	-194081
4e+10	-2.35345	-201488
4e+10	-2.34698	-199318
4e+10	-2.34052	-193952
4e+10	-2.33405	-198381
4e+10	-2.32759	-191729
4e+10	-2.32112	-196295
4e+10	-2.31466	-194128
4e+10	-2.30819	-184918
4e+10	-2.30172	-192279
4e+10	-2.29526	-189166
4e+10	-2.28879	-183679
4e+10	-2.28233	-187759
4e+10	-2.27586	-181819
4e+10	-2.2694	-182856
4e+10	-2.26293	-189724
4e+10	-2.25647	-195845
4e+10	-2.25	-188684
4e+10	-2.24353	-180922
4e+10	-2.23707	-184561
4e+10	-2.2306	-189850
4e+10	-2.22414	-191642
4e+10	-2.21767	-190080
4e+10	-2.21121	-181329
4e+10	-2.20474	-178615
4e+10	-2.19828	-178485
4e+10	-2.19181	-174175
4e+10	-2.18534	-175430
4e+10	-2.17888	-179672
4e+10	-2.17241	-171999
4e+10	-2.16595	-168092
4e+10	-2.15948	-161293
4e+10	-2.15302	-164792
4e+10	-2.14655	-161224
4e+10	-2.14009	-164844
4e+10	-2.13362	-163010
4e+10	-2.12716	-161627
4e+10	-2.12069	-162746
4e+10	-2.11422	-166488
4e+10	-2.10776	-159019
4e+10	-2.10129	-156368
4e+10	-2.09483	-172948
4e+10	-2.08836	-167199
4e+10	-2.0819	-143903
4e+10	-2.07543	-143237
4e+10	-2.06897	-150512
4e+10	-2.0625	-142491
4e+10	-2.05603	-139239
4e+10	-2.04957	-151779
4e+10	-2.0431	-145958
4e+10	-2.03664	-139539
4e+10	-2.03017	-148551
4e+10	-2.02371	-156606
4e+10	-2.01724	-140170
4e+10	-2.01078	-143643
4e+10	-2.00431	-142714
4e+10	-1.99784	-141737
4e+10	-1.99138	-146902
4e+10	-1.98491	-136417
4e+10	-1.97845	-136782
4e+10	-1.97198	-137363
4e+10	-1.96552	-136081
4e+10	-1.95905	-130312
4e+10	-1.95259	-134553
4e+10	-1.94612	-138115
4e+10	-1.93966	-152577
4e+10	-1.93319	-136776
4e+10	-1.92672	-136818
4e+10	-1.92026	-134390
4e+10	-1.91379	-132327
4e+10	-1.90733	-130802
4e+10	-1.90086	-128531
4e+10	-1.8944	-127944
4e+10	-1.88793	-130114
4e+10	-1.88147	-117659
4e+10	-1.875	-119120
4e+10	-1.86853	-129700
4e+10	-1.86207	-131078
4e+10	-1.8556	-130874
4e+10	-1.84914	-131743
4e+10	-1.84267	-127159
4e+10	-1.83621	-125110
4e+10	-1.82974	-126390
4e+10	-1.82328	-123769
4e+10	-1.81681	-116997
4e+10	-1.81034	-116170
4e+10	-1.80388	-114148
4e+10	-1.79741	-106982
4e+10	-1.79095	-116609
4e+10	-1.78448	-114061
4e+10	-1.77802	-113854
4e+10	-1.77155	-106830
4e+10	-1.76509	-103600
4e+10	-1.75862	-119334
4e+10	-1.75216	-110544
4e+10	-1.74569	-103362
4e+10	-1.73922	-104860
4e+10	-1.73276	-108634
4e+10	-1.72629	-111679
4e+10	-1.71983	-108615
4e+10	-1.71336	-103575
4e+10	-1.7069	-111164
4e+10	-1.70043	-106359
4e+10	-1.69397	-91336
4e+10	-1.6875	-96766
4e+10	-1.68103	-88080
4e+10	-1.67457	-92888
4e+10	-1.6681	-100654
4e+10	-1.66164	-99297
4e+10	-1.65517	-98662
4e+10	-1.64871	-97862
4e+10	-1.64224	-92434
4e+10	-1.63578	-87336
4e+10	-1.62931	-87744
4e+10	-1.62284	-89008
4e+10	-1.61638	-88061
4e+10	-1.60991	-90908
4e+10	-1.60345	-91240
4e+10	-1.59698	-83122
4e+10	-1.59052	-82658
4e+10	-1.58405	-89624
4e+10	-1.57759	-94400
4e+10	-1.57112	-87363
4e+10	-1.56466	-81688
4e+10	-1.55819	-87318
4e+10	-1.55172	-83088
4e+10	-1.54526	-84277
4e+10	-1.53879	-81233
4e+10	-1.53233	-87223
4e+10	-1.52586	-85877
4e+10	-1.5194	-81293
4e+10	-1.51293	-80070
4e+10	-1.50647	-74335
4e+10	-1.5	-69587
4e+10	-1.49353	-72086
4e+10	-1.48707	-72827
4e+10	-1.4806	-75392
4e+10	-1.47414	-70453
4e+10	-1.46767	-63161
4e+10	-1.46121	-65474
4e+10	-1.45474	-65509
4e+10	-1.44828	-62721
4e+10	-1.44181	-58633
4e+10	-1.43534	-57437
4e+10	-1.42888	-62725
4e+10	-1.42241	-63960
4e+10	-1.41595	-58055
4e+10	-1.40948	-56804
4e+10	-1.40302	-58496
4e+10	-1.39655	-53818
4e+10	-1.39009	-55205
4e+10	-1.38362	-48014
4e+10	-1.37716	-61131
4e+10	-1.37069	-59232
4e+10	-1.36422	-55752
4e+10	-1.35776	-60651
4e+10	-1.35129	-53111
4e+10	-1.34483	-50904
4e+10	-1.33836	-52453
4e+10	-1.3319	-49152
4e+10	-1.32543	-55904
4e+10	-1.31897	-60188
4e+10	-1.3125	-56236
4e+10	-1.30603	-47249
4e+10	-1.29957	-48048
4e+10	-1.2931	-53525
4e+10	-1.28664	-52088
4e+10	-1.28017	-52793
4e+10	-1.27371	-47759
4e+10	-1.26724	-56670
4e+10	-1.26078	-43204
4e+10	-1.25431	-32352
4e+10	-1.24784	-33744
4e+10	-1.24138	-47152
4e+10	-1.23491	-48442
4e+10	-1.22845	-37240
4e+10	-1.22198	-35397
4e+10	-1.21552	-36901
4e+10	-1.20905	-33621
4e+10	-1.20259	-27010
4e+10	-1.19612	-44258
4e+10	-1.18966	-37308
4e+10	-1.18319	-34974
4e+10	-1.17672	-31377
4e+10	-1.17026	-30793
4e+10	-1.16379	-29159
4e+10	-1.15733	-32759
4e+10	-1.15086	-31082
4e+10	-1.1444	-27743
4e+10	-1.13793	-22329
4e+10	-1.13147	-27536
4e+10	-1.125	-32722
4e+10	-1.11853	-29738
4e+10	-1.11207	-23476
4e+10	-1.1056	-17230
4e+10	-1.09914	-26508
4e+10	-1.09267	-24555
4e+10	-1.08621	-27516
4e+10	-1.07974	-24588
4e+10	-1.07328	-27856
4e+10	-1.06681	-30436
4e+10	-1.06034	-26346
4e+10	-1.05388	-29681
