# B8	keithley2_amplitude
# "B8"	"keithley2_amplitude"
# 200
100	0.199887964
95	0.199875563
90	0.19988272
85	0.199838267
80	0.199826592
75	0.199819497
70	0.199780627
65	0.199785316
60	0.199722353
55	0.19972695
50	0.199712945
45	0.199696471
40	0.199663124
35	0.199630578
30	0.199584367
25	0.199528839
20	0.199513476
15	0.199429567
10	0.199421269
5	0.199283189
0	0.199191013
-5	0.199105191
-10	0.198947276
-15	0.198770512
-20	0.198508883
-25	0.198093503
-30	0.197476165
-35	0.196449647
-40	0.194826596
-45	0.192547882
-50	0.190778299
-55	0.189212965
-60	0.188055578
-65	0.186180768
-70	0.184425283
-75	0.181798285
-80	0.179830529
-85	0.17723691
-90	0.174251912
-95	0.171491617
-100	0.169029291
-105	0.164710017
-110	0.161200773
-115	0.154256662
-120	0.145782138
-125	0.142104305
-130	0.139427271
-135	0.132265428
-140	0.127780003
-145	0.117828777
-150	0.115585324
-155	0.114931389
-160	0.114361025
-165	0.11406142
-170	0.113696262
-175	0.113214989
-180	0.112540078
-185	0.111826728
-190	0.110758185
-195	0.110245076
-200	0.108873535
-205	0.107867461
-210	0.105721398
-215	0.103538717
-220	0.100760344
-225	0.0972513892
-230	0.0934434543
-235	0.0894984662
-240	0.0860093173
-245	0.0831865161
-250	0.0811305512
-255	0.079664978
-260	0.0785932954
-265	0.0778956263
-270	0.0769431263
-275	0.0760879033
-280	0.0751503376
-285	0.0741134662
-290	0.0730028138
-295	0.0718301282
-300	0.0705474426
-305	0.06899221
-310	0.0662921648
-315	0.0640260796
-320	0.0593939684
-325	0.0556321831
-330	0.049070292
-335	0.0421460989
-340	0.0341751944
-345	0.0255970784
-350	0.0179442771
-355	0.011735542
-360	0.00727717232
-365	0.0042651955
-370	0.00243175697
-375	0.00112322938
-380	0.000543680908
-385	0.000215108259
-390	3.28698018e-05
-395	-6.71864379e-05
-400	-0.000100250094
-405	-0.000146913486
-410	-0.000159299361
-415	-0.000172668688
-420	-0.000174458618
-425	-0.000170173623
-430	-0.000180025008
-435	-0.000175995662
-440	-0.000175931036
-445	-0.000179819888
-450	-0.000179853606
-455	-0.000180370621
-460	-0.000180131783
-465	-0.000178406526
-470	-0.000176906058
-475	-0.000181916047
-480	-0.000182090258
-485	-0.000178816766
-490	-0.000182216702
-495	-0.000179325352
-500	-0.000174214208
-505	-0.000177358447
-510	-0.000176113677
-515	-0.000182171744
-520	-0.000176906058
-525	-0.000179201718
-530	-0.000178566688
-535	-0.000175402781
-540	-0.00017915395
-545	-0.000175602281
-550	-0.000177324728
-555	-0.000171289139
-560	-0.000173357199
-565	-0.000179628817
-570	-0.000173261664
-575	-0.000174191729
-580	-0.000177813644
-585	-0.000177251671
-590	-0.000176807713
-595	-0.000177571996
-600	-0.000181078707
-605	-0.000177122418
-610	-0.00017459635
-615	-0.000175130224
-620	-0.000180339712
-625	-0.000176338465
-630	-0.000180300374
-635	-0.000175908556
-640	-0.000177824884
-645	-0.000178490822
-650	-0.000179569899
-655	-0.000183113139
-660	-0.000177307957
-665	-0.000182587695
-670	-0.000180092534
-675	-0.000183017604
-680	-0.000172328874
-685	-0.000177706958
-690	-0.00018017683
-695	-0.000172303586
-700	-0.000177313576
-705	-0.000178319508
-710	-0.000181567713
-715	-0.000181657629
-720	-0.000176642018
-725	-0.000172438459
-730	-0.00017284027
-735	-0.000175043205
-740	-0.000184436586
-745	-0.000177805303
-750	-0.000180516823
-755	-0.00017681061
-760	-0.00017325894
-765	-0.000176259847
-770	-0.000178420633
-775	-0.000176894877
-780	-0.000179904242
-785	-0.00017494483
-790	-0.000181859909
-795	-0.000179631685
-800	-0.000179013515
-805	-0.000180016637
-810	-0.000178094689
-815	-0.000180283574
-820	-0.000177906428
-825	-0.000181862718
-830	-0.000181354133
-835	-0.000186350073
-840	-0.000187083448
-845	-0.000180525223
-850	-0.000178103119
-855	-0.000184141519
-860	-0.000184267963
-865	-0.000180910174
-870	-0.000182185853
-875	-0.0001824556
-880	-0.000186481995
-885	-0.000182598764
-890	-0.000182520088
-895	-0.000183562547
